name,med_hh_inc_tract_estimate,pop_total_tract_estimate,pop_owner_tract_estimate,pop_renter_tract_estimate,med_hh_inc_tract_moe,pop_total_tract_moe,pop_owner_tract_moe,pop_renter_tract_moe,med_hh_inc_tract_moe_rate,pop_total_tract_moe_rate,pop_owner_tract_moe_rate,pop_renter_tract_moe_rate,geoid,geometry,pop_total,pop_hislat,pop_nonhil,pop_nonhil1r,pop_white,pop_black,pop_amind,pop_asian,pop_pacil,pop_other1r,pop_nonhil2r,borough,census_tract_raw,census_tract_predot,census_tract_postdot,bct2020
"Census Tract 127.01, Bronx County, New York",38000,1968,352,1616,13393,484,184,502,0.3524473684210526,0.2459349593495935,0.5227272727272727,0.31064356435643564,36005012701,"list(list(c(-73.894836, -73.893868, -73.892933, -73.891913, -73.890905, -73.88885, -73.887895, -73.888806, -73.890663, -73.89139, -73.892005, -73.8932, -73.893898, -73.894871, -73.894836, 40.82624, 40.826515, 40.826787, 40.826794, 40.826788, 40.826768, 40.826743, 40.826257, 40.825307, 40.824941, 40.824723, 40.824008, 40.823984, 40.823937, 40.82624)))",2184,1567,617,591,34,492,2,45,1,17,26,2,127.01,127,01,2012701
"Census Tract 373, Bronx County, New York",28083,6039,685,5354,20379,1436,383,1417,0.7256703343659865,0.23778771319754927,0.5591240875912409,0.26466193500186774,36005037300,"list(list(c(-73.893374, -73.892421, -73.891544, -73.890936, -73.8899, -73.889332, -73.890499, -73.889879, -73.889518, -73.888953, -73.888032, -73.887518, -73.886436, -73.888155, -73.888837, -73.88947, -73.889965, -73.891125, -73.892901, -73.893374, 40.846401, 40.848003, 40.849467, 40.850477, 40.849869, 40.850832, 40.851224, 40.85207, 40.851803, 40.851441, 40.850997, 40.850949, 40.850309, 40.848929, 40.848134, 40.847384, 40.846793, 40.84541, 40.846269, 40.846401)))",6117,3904,2213,2088,109,1880,11,43,1,44,125,2,373,373,00,2037300
"Census Tract 119, Bronx County, New York",30417,5363,288,5075,5132,1159,228,1167,0.16872143866916528,0.2161103859779974,0.7916666666666666,0.22995073891625617,36005011900,"list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.886895, -73.88761, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823717, 40.823284, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",5703,4008,1695,1629,125,1429,18,25,0,32,66,2,119,119,00,2011900
"Census Tract 391, Bronx County, New York",30923,7524,580,6944,18890,1062,534,985,0.6108721663486725,0.14114832535885166,0.9206896551724137,0.14184907834101382,36005039100,"list(list(c(-73.89003, -73.888449, -73.887568, -73.886873, -73.886186, -73.885421, -73.884461, -73.883628, -73.884715, -73.885452, -73.886436, -73.887518, -73.888032, -73.888953, -73.889518, -73.889879, -73.88994, -73.889607, -73.89003, 40.854221, 40.856024, 40.855556, 40.855202, 40.85487, 40.854498, 40.854152, 40.853909, 40.851759, 40.85104, 40.850309, 40.850949, 40.850997, 40.851441, 40.851803, 40.85207, 40.852591, 40.853238, 40.854221)))",7210,5414,1796,1724,560,986,18,105,4,51,72,2,391,391,00,2039100
"Census Tract 79, Bronx County, New York",31083,6652,241,6411,7336,1062,271,1027,0.236013254833832,0.15965123271196632,1.1244813278008299,0.16019341756356262,36005007900,"list(list(c(-73.908225, -73.907589, -73.906305, -73.905313, -73.90347, -73.901602, -73.901668, -73.901832, -73.902579, -73.90301, -73.90347, -73.903804, -73.904183, -73.904466, -73.905413, -73.90633, -73.907245, -73.906238, -73.90808, -73.908225, 40.816203, 40.816596, 40.817371, 40.817925, 40.818737, 40.819695, 40.819534, 40.819147, 40.81737, 40.816318, 40.815075, 40.814132, 40.813087, 40.812282, 40.812476, 40.812667, 40.812855, 40.815661, 40.816033, 40.816203)))",6826,4889,1937,1850,101,1622,3,67,0,57,87,2,79,79,00,2007900
"Census Tract 206.01, Bronx County, New York",48654,2456,912,1544,18731,611,465,423,0.38498376289719244,0.2487785016286645,0.5098684210526315,0.27396373056994816,36005020601,"list(list(c(-73.852914, -73.851683, -73.850678, -73.850011, -73.848781, -73.847316, -73.848701, -73.849559, -73.850166, -73.851684, -73.85207, -73.852207, -73.852331, -73.852914, 40.840086, 40.839261, 40.838575, 40.838115, 40.837271, 40.836264, 40.835103, 40.834409, 40.834355, 40.834201, 40.835625, 40.836347, 40.83701, 40.840086)))",3277,1587,1690,1578,243,347,17,927,1,43,112,2,206.01,206,01,2020601
"Census Tract 35, Bronx County, New York",29068,3710,187,3523,2672,852,141,853,0.09192238888124397,0.22964959568733154,0.7540106951871658,0.24212319046267386,36005003500,"list(list(c(-73.910948, -73.910019, -73.909075, -73.907245, -73.90633, -73.906852, -73.90726, -73.907537, -73.907839, -73.910693, -73.910366, -73.909596, -73.910238, -73.910948, 40.813621, 40.813432, 40.813233, 40.812855, 40.812667, 40.811209, 40.809937, 40.80906, 40.808206, 40.808809, 40.809645, 40.811777, 40.811929, 40.813621)))",3726,2592,1134,1103,122,924,1,25,0,31,31,2,35,35,00,2003500
"Census Tract 215.01, Bronx County, New York",39875,4293,98,4195,15698,889,115,886,0.39368025078369906,0.2070812951316096,1.1734693877551021,0.21120381406436234,36005021501,"list(list(c(-73.921345, -73.920482, -73.919371, -73.918948, -73.916447, -73.915975, -73.915452, -73.916051, -73.917286, -73.918414, -73.919609, -73.920542, -73.921345, 40.84718, 40.848264, 40.849621, 40.850182, 40.851905, 40.851325, 40.850494, 40.850043, 40.849189, 40.848328, 40.847578, 40.846894, 40.84718)))",4078,3005,1073,1027,49,929,0,21,0,28,46,2,215.01,215,01,2021501
"Census Tract 418, Bronx County, New York",52396,3474,1100,2374,22461,773,413,802,0.42867776166119553,0.22251007484168106,0.37545454545454543,0.33782645324347094,36005041800,"list(list(c(-73.862875, -73.861113, -73.859258, -73.858626, -73.856997, -73.856194, -73.855386, -73.854689, -73.854299, -73.855249, -73.85616, -73.856561, -73.856956, -73.859834, -73.860711, -73.86136, -73.861894, -73.862875, 40.895154, 40.897589, 40.900338, 40.900136, 40.899504, 40.899188, 40.898876, 40.898603, 40.89845, 40.897252, 40.895597, 40.894873, 40.894168, 40.895085, 40.895371, 40.894663, 40.894834, 40.895154)))",3752,1250,2502,2362,165,1792,30,207,3,165,140,2,418,418,00,2041800
"Census Tract 269, Bronx County, New York",25039,3600,449,3151,20208,763,239,766,0.8070609848636128,0.21194444444444444,0.532293986636971,0.24309742938749604,36005026900,"list(list(c(-73.91434, -73.909804, -73.908605, -73.908526, -73.907104, -73.907, -73.906162, -73.905714, -73.904662, -73.904459, -73.904397, -73.903668, -73.904483, -73.907134, -73.908488, -73.908826, -73.909099, -73.90904, -73.910756, -73.91252, -73.912704, -73.913234, -73.91434, 40.862521, 40.868282, 40.871678, 40.871792, 40.872978, 40.873455, 40.873243, 40.873138, 40.872645, 40.872423, 40.870348, 40.869495, 40.869388, 40.867922, 40.865345, 40.864854, 40.863001, 40.862679, 40.861651, 40.861878, 
40.861916, 40.862048, 40.862521)))",4126,3089,1037,992,156,709,2,89,0,36,45,2,269,269,00,2026900
