borough,block,lot,address,zip_code,development,managed_by,cd,facility,borocode,bbl
BRONX,3633,1,10 CLASON POINT LANE NORTH,10473,CLASON POINT GARDENS,SACK WERN,9,,2,2036330001
QUEENS,6792,30,155-19 JEWEL AVENUE,11367,POMONOK,POMONOK,8,CARPENTERS STORAGE,4,4067920030
BRONX,4905,1,1187 226TH DRIVE,10466,EDENWALD,EDENWALD,12,,2,2049050001
BROOKLYN,538,1, ,11231,RED HOOK EAST,RED HOOK EAST,6,QUONSET HUT,3,3005380001
BRONX,3591,1,781 CROES AVENUE,10473,CLASON POINT GARDENS,SACK WERN,9,,2,2035910001
BROOKLYN,3026,1,222 GRAHAM AVENUE,11206,WILLIAMSBURG,WILLIAMSBURG,1,DAY CARE CENTER,3,3030260001
QUEENS,738,50,50-04 31ST AVENUE,11377,WOODSIDE,WOODSIDE,1,,4,4007380050
BROOKLYN,3027,1,136 BUSHWICK AVENUE,11206,WILLIAMSBURG,WILLIAMSBURG,1,COMMERCIAL SPACE  (STORES #40 TO 42),3,3030270001
MANHATTAN,2037,11,2650 A C POWELL BOULEVARD,10039,HARLEM RIVER,HARLEM RIVER,10,NEW YORK PUBLIC LIBRARY,1,1020370011
BROOKLYN,7978,1,5709 AVENUE H,11234,GLENWOOD,GLENWOOD,18,,3,3079780001
BROOKLYN,1719,1,532 FLUSHING AVENUE,11206,MARCY,MARCY,3,,3,3017190001
BROOKLYN,3024,1,174 LEONARD STREET,11206,WILLIAMSBURG,WILLIAMSBURG,1,COMMERCIAL SPACE  (STORES #48-,3,3030240001
MANHATTAN,323,1,68 BARUCH DRIVE,10002,BARUCH,BARUCH,3,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),1,1003230001
BROOKLYN,4292,61,600 EUCLID AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,DEVELOPMENT MANAGEMENT OFFICE,3,3042920061
BROOKLYN,1738,1,542 MARCY AVENUE,11206,MARCY,MARCY,3,,3,3017380001
QUEENS,465,1,41-01 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,BOILER,4,4004650001
QUEENS,6792,1,155-09 71ST AVENUE,11367,POMONOK,POMONOK,8,,4,4067920001
QUEENS,490,101, ,11102,ASTORIA,ASTORIA,1,PUMP,4,4004900101
BROOKLYN,1344,1,154 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,STORAGE ROOM,3,3013440001
BROOKLYN,1688,1,300 BAINBRIDGE STREET,11233,BREVOORT,BREVOORT,3,,3,3016880001
MANHATTAN,1696,1,435 EAST 102ND STREET,10029,EAST RIVER,EAST RIVER,11,,1,1016960001
BROOKLYN,2041,1,132 CARLTON AVENUE,11205,WHITMAN,WHITMAN,2,TENANT ASSOCIATION & PATROL OFFICES,3,3020410001
MANHATTAN,2106,3,2929 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,ROOFTOP LEASE LOCATION,1,1021060003
BROOKLYN,8158,1,651 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,,3,3081580001
BRONX,5564,1,505 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,,2,2055640001
MANHATTAN,111,100,20 CATHERINE SLIP,10038,SMITH,SMITH,3,,1,1001110100
MANHATTAN,356,1,10 AVENUE D,10009,WALD,WALD,3,,1,1003560001
QUEENS,465,100,41-03 10TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,GLAZIERS SHOP/ GLASS STORAGE,4,4004650100
MANHATTAN,1154,101,40 AMSTERDAM AVENUE,10023,AMSTERDAM,AMSTERDAM,7,,1,1011540101
QUEENS,470,100,40-06 10TH STREET,11101,QUEENSBRIDGE NORTH,QUEENSBRIDGE NORTH,1,,4,4004700100
BRONX,5582,1,2770 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,CARETAKER X-SHOP/ REFRIGERATOR & STOVE STORAGE ROOMS,2,2055820001
BROOKLYN,2050,1, BED OF FLEET STREET,11201,INGERSOLL,INGERSOLL,2,COMMERCIAL SPACE PARKING LOT,3,3020500001
BROOKLYN,8329,225,1580 EAST 102ND STREET,11236,BAY VIEW,BAY VIEW,18,,3,3083290225
QUEENS,10125,33,107-03GAR 107TH AVENUE,11433,SOUTH JAMAICA I,SOUTH JAMAICA I,12,GARAGE,4,4101250033
BROOKLYN,3025,46,237 GRAHAM AVENUE,11206,WILLIAMSBURG,WILLIAMSBURG,1,COMMERCIAL SPACE (STORE #15),3,3030250046
BROOKLYN,3561,1,290 BLAKE AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,BRICKLAYERS SHOP,3,3035610001
BRONX,4542,100,680 ADEE AVENUE,10467,PARKSIDE,PARKSIDE,11,,2,2045420100
BROOKLYN,533,1,15 BUSH STREET,11231,RED HOOK WEST,RED HOOK WEST,6,,3,3005330001
BRONX,3551,1,1665 RANDALL AVENUE,10473,SOUNDVIEW,SOUNDVIEW,9,,2,2035510001
BROOKLYN,2034,1,110 MONUMENT WALK,11205,INGERSOLL,INGERSOLL,2,,3,3020340001
