name,pophoh,poptotl,popownr,poprntr,mhhinc,mhhinco,mhhincr,pophohm,popttlm,popwnrm,pprntrm,mhhincmo,mhhincom,mhhncrm,geoid,poptot,pophis,popnhis,popnh1r,popwhit,popblck,popamnd,popasin,poppacl,popth1r,ppnhs2r,bct2020,geometry,in_census,nun_res,nun_rs,nun_nycha,fzr20_100y,fzr50_100y,fzr50_500y,ncondo,ncoop,nsfh,nmfh,nuncondo,nuncoop,nunsfh,nunmfh,nres_bf1960,nres_60t79,nres_80t99,nres_2000af,nun_bf1960,nun_60t79,nun_80t99,nun_2000af,nunbf60sfh,nun60t79sfh,nun80t99sfh,nun00afsfh,nunbf60mfh,nun60t79mfh,nun80t99mfh,nun00afmfh,fp_cat,in_mp
"Census Tract 127.01, Bronx County, New York",732,1968,352,1616,38000,65100,33968,101,484,184,502,13393,30135,7632,36005012701,2184,1567,617,591,34,492,2,45,1,17,26,2012701,"list(list(c(-73.894836, -73.893868, -73.892933, -73.891913, -73.890905, -73.88885, -73.887895, -73.888806, -73.890663, -73.89139, -73.892005, -73.8932, -73.893898, -73.894871, -73.894836, 40.82624, 40.826515, 40.826787, 40.826794, 40.826788, 40.826768, 40.826743, 40.826257, 40.825307, 40.824941, 40.824723, 40.824008, 40.823984, 40.823937, 40.82624)))",1,907,208,143,0,0,0,0,5,84,49,0,112,84,711,45,0,89,4,746,0,95,66,0,0,84,0,634,0,11,66,NA,1
"Census Tract 373, Bronx County, New York",1899,6039,685,5354,28083,62716,17978,315,1436,383,1417,20379,38367,10995,36005037300,6117,3904,2213,2088,109,1880,11,43,1,44,125,2037300,"list(list(c(-73.893374, -73.892421, -73.891544, -73.890936, -73.8899, -73.889332, -73.890499, -73.889879, -73.889518, -73.888953, -73.888032, -73.887518, -73.886436, -73.888155, -73.888837, -73.88947, -73.889965, -73.891125, -73.892901, -73.893374, 40.846401, 40.848003, 40.849467, 40.850477, 40.849869, 40.850832, 40.851224, 40.85207, 40.851803, 40.851441, 40.850997, 40.850949, 40.850309, 40.848929, 40.848134, 40.847384, 40.846793, 40.84541, 40.846269, 40.846401)))",1,2446,941,0,0,0,0,1,10,48,215,16,480,48,1895,147,0,76,51,1440,0,260,739,25,0,23,0,935,0,237,723,NA,1
"Census Tract 119, Bronx County, New York",1763,5363,288,5075,30417,55221,29948,192,1159,228,1167,5132,21559,4855,36005011900,5703,4008,1695,1629,125,1429,18,25,0,32,66,2011900,"list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.886895, -73.88761, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823717, 40.823284, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",1,2042,720,103,0,0,0,2,3,0,130,78,44,0,1620,99,0,34,1,1532,0,165,3,0,0,0,0,1452,0,165,3,NA,1
"Census Tract 391, Bronx County, New York",2756,7524,580,6944,30923,88612,26396,453,1062,534,985,18890,1266,10424,36005039100,7210,5414,1796,1724,560,986,18,105,4,51,72,2039100,"list(list(c(-73.89003, -73.888449, -73.887568, -73.886873, -73.886186, -73.885421, -73.884461, -73.883628, -73.884715, -73.885452, -73.886436, -73.887518, -73.888032, -73.888953, -73.889518, -73.889879, -73.88994, -73.889607, -73.89003, 40.854221, 40.856024, 40.855556, 40.855202, 40.85487, 40.854498, 40.854152, 40.853909, 40.851759, 40.85104, 40.850309, 40.850949, 40.850997, 40.851441, 40.851803, 40.85207, 40.852591, 40.853238, 40.854221)))",1,2710,1504,0,0,0,0,1,4,10,281,40,37,10,2549,248,7,6,35,2234,14,66,322,9,1,0,0,2188,13,66,282,NA,1
"Census Tract 79, Bronx County, New York",2345,6652,241,6411,31083,NA,30816,312,1062,271,1027,7336,NA,10311,36005007900,6826,4889,1937,1850,101,1622,3,67,0,57,87,2007900,"list(list(c(-73.908225, -73.907589, -73.906305, -73.905313, -73.90347, -73.901602, -73.901668, -73.901832, -73.902579, -73.90301, -73.90347, -73.903804, -73.904183, -73.904466, -73.905413, -73.90633, -73.907245, -73.906238, -73.90808, -73.908225, 40.816203, 40.816596, 40.817371, 40.817925, 40.818737, 40.819695, 40.819534, 40.819147, 40.81737, 40.816318, 40.815075, 40.814132, 40.813087, 40.812282, 40.812476, 40.812667, 40.812855, 40.815661, 40.816033, 40.816203)))",1,2548,852,917,0,0,0,0,0,17,124,0,0,17,2237,98,2,1,40,966,917,109,262,4,0,0,13,962,917,109,249,NA,1
"Census Tract 206.01, Bronx County, New York",864,2456,912,1544,48654,92969,29932,103,611,465,423,18731,53188,23231,36005020601,3277,1587,1690,1578,243,347,17,927,1,43,112,2020601,"list(list(c(-73.852914, -73.851683, -73.850678, -73.850011, -73.848781, -73.847316, -73.848701, -73.849559, -73.850166, -73.851684, -73.85207, -73.852207, -73.852331, -73.852914, 40.840086, 40.839261, 40.838575, 40.838115, 40.837271, 40.836264, 40.835103, 40.834409, 40.834355, 40.834201, 40.835625, 40.836347, 40.83701, 40.840086)))",1,973,153,132,0,0,0,0,0,46,253,0,0,46,919,236,26,4,33,571,199,11,184,41,5,0,0,530,194,11,184,NA,1
"Census Tract 35, Bronx County, New York",1374,3710,187,3523,29068,NA,28701,292,852,141,853,2672,NA,2057,36005003500,3726,2592,1134,1103,122,924,1,25,0,31,31,2003500,"list(list(c(-73.910948, -73.910019, -73.909075, -73.907245, -73.90633, -73.906852, -73.90726, -73.907537, -73.907839, -73.910693, -73.910366, -73.909596, -73.910238, -73.910948, 40.813621, 40.813432, 40.813233, 40.812855, 40.812667, 40.811209, 40.809937, 40.80906, 40.808206, 40.808809, 40.809645, 40.811777, 40.811929, 40.813621)))",1,1480,485,463,0,0,0,0,0,7,83,0,0,7,1463,70,1,9,10,708,463,27,272,7,0,0,0,701,463,27,272,NA,1
"Census Tract 215.01, Bronx County, New York",1319,4293,98,4195,39875,NA,39225,221,889,115,886,15698,NA,14584,36005021501,4078,3005,1073,1027,49,929,0,21,0,28,46,2021501,"list(list(c(-73.921345, -73.920482, -73.919371, -73.918948, -73.916447, -73.915975, -73.915452, -73.916051, -73.917286, -73.918414, -73.919609, -73.920542, -73.921345, 40.84718, 40.848264, 40.849621, 40.850182, 40.851905, 40.851325, 40.850494, 40.850043, 40.849189, 40.848328, 40.847578, 40.846894, 40.84718)))",1,1398,938,0,0,0,0,0,1,0,50,0,61,0,1337,37,0,6,8,1337,0,12,49,0,0,0,0,1276,0,12,49,NA,1
"Census Tract 418, Bronx County, New York",1208,3474,1100,2374,52396,64773,51094,172,773,413,802,22461,9626,14154,36005041800,3752,1250,2502,2362,165,1792,30,207,3,165,140,2041800,"list(list(c(-73.862875, -73.861113, -73.859258, -73.858626, -73.856997, -73.856194, -73.855386, -73.854689, -73.854299, -73.855249, -73.85616, -73.856561, -73.856956, -73.859834, -73.860711, -73.86136, -73.861894, -73.862875, 40.895154, 40.897589, 40.900338, 40.900136, 40.899504, 40.899188, 40.898876, 40.898603, 40.89845, 40.897252, 40.895597, 40.894873, 40.894168, 40.895085, 40.895371, 40.894663, 40.894834, 40.895154)))",1,1308,603,0,0,0,0,0,1,42,253,0,21,42,1238,274,10,0,12,1162,43,0,96,42,0,0,0,1120,22,0,96,NA,1
"Census Tract 269, Bronx County, New York",1735,3600,449,3151,25039,108042,23086,596,763,239,766,20208,41977,16630,36005026900,4126,3089,1037,992,156,709,2,89,0,36,45,2026900,"list(list(c(-73.91434, -73.909804, -73.908605, -73.908526, -73.907104, -73.907, -73.906162, -73.905714, -73.904662, -73.904459, -73.904397, -73.903668, -73.904483, -73.907134, -73.908488, -73.908826, -73.909099, -73.90904, -73.910756, -73.91252, -73.912704, -73.913234, -73.91434, 40.862521, 40.868282, 40.871678, 40.871792, 40.872978, 40.873455, 40.873243, 40.873138, 40.872645, 40.872423, 40.870348, 40.869495, 40.869388, 40.867922, 40.865345, 40.864854, 40.863001, 40.862679, 40.861651, 40.861878, 
40.861916, 40.862048, 40.862521)))",1,1675,791,233,0,0,0,0,2,27,61,0,247,27,1214,72,7,0,11,888,474,0,126,27,0,0,0,676,412,0,126,NA,1
